0,0,80
0,0,395
0,0,325
0,1,37
0,2,218
0,3,413
0,3,220
0,3,430
0,3,243
0,4,42
0,4,350
0,5,251
0,5,128
0,5,248
0,5,163
0,6,177
0,7,287
0,7,450
0,8,319
0,8,260
0,8,115
0,9,171
0,10,179
0,10,199
0,11,361
0,11,86
0,12,260
0,13,146
0,14,368
0,14,77
0,14,95
0,14,473
0,15,193
0,15,497
0,15,279
0,15,122
0,16,237
0,16,111
0,16,266
0,17,477
0,17,444
0,17,443
0,17,496
0,18,151
0,18,252
0,19,318
0,19,207
0,19,391
0,19,210
0,20,186
0,21,351
0,21,153
0,21,357
0,22,289
0,23,485
0,23,428
0,23,470
0,24,485
0,24,10
0,24,84
0,24,395
1,25,280
1,25,454
1,25,91
1,25,33
1,26,311
1,27,487
1,27,48
1,27,120
1,28,403
1,29,161
1,30,58
1,30,18
1,31,265
1,31,462
1,31,337
1,31,19
1,32,159
1,32,164
1,32,290
1,33,354
1,33,180
1,34,487
1,35,87
1,35,443
1,35,11
1,35,449
1,36,346
1,36,93
1,36,469
1,37,302
1,37,5
1,37,66
1,38,96
1,38,159
1,38,155
1,39,108
1,40,284
1,40,425
1,40,166
1,40,223
1,41,460
1,41,366
1,42,14
1,42,262
1,43,107
1,43,131
1,43,438
2,44,306
2,45,378
2,46,46
2,46,126
2,47,438
2,48,421
2,48,60
2,48,304
2,49,481
2,49,357
2,50,224
2,51,89
2,51,482
2,51,245
2,51,148
2,52,449
2,52,82
2,53,123
2,53,86
2,53,497
2,54,334
2,55,397
2,55,187
2,56,101
2,56,251
2,56,304
2,57,200
2,57,99
2,57,365
2,58,105
2,58,126
2,58,81
3,59,360
3,59,270
3,60,245
3,60,291
3,61,378
3,61,118
3,61,383
3,61,177
3,62,108
3,62,191
3,62,288
3,62,28
3,63,23
3,63,478
3,63,485
3,63,368
3,64,290
3,64,36
3,65,149
3,65,347
3,65,440
3,65,312
3,66,329
3,66,229
3,66,26
4,67,479
4,67,458
4,68,16
4,68,91
4,68,152
4,68,299
4,69,121
4,70,224
4,70,396
4,70,88
4,71,200
4,72,83
4,73,360
4,73,32
4,74,259
4,74,97
4,75,87
4,75,426
4,75,437
5,76,321
5,77,366
6,78,397
6,79,192
6,79,366
6,79,264
6,79,488
6,80,215
7,81,321
7,81,447
7,81,448
7,81,450
8,82,197
8,83,78
8,83,475
8,84,290
8,84,401
8,85,231
8,85,240
8,85,23
8,86,287
8,86,60
8,87,188
8,87,200
8,87,452
9,88,13
9,88,44
9,89,467
9,89,138
9,89,379
9,90,481
9,90,287
9,90,476
9,90,120
9,91,302
9,92,325
9,93,378
9,93,433
9,94,124
9,95,22
9,95,263
9,95,40
9,96,205
9,96,457
9,96,387
9,97,306
9,97,113
9,97,307
9,98,283
9,98,2
9,98,292
9,98,323
9,99,315
9,99,40
9,99,492
9,99,30
9,100,413
9,100,106
9,100,450
9,100,253
9,101,140
9,101,382
9,102,83
9,102,417
9,102,341
9,103,132
9,103,436
9,104,470
9,104,26
9,105,125
9,105,413
9,106,126
9,106,193
9,106,158
9,107,14
9,108,277
9,109,63
9,109,436
9,109,236
9,110,253
9,110,222
9,110,5
9,111,202
9,111,254
10,112,78
10,112,221
10,113,48
10,113,101
10,113,301
10,113,374
10,114,246
10,115,74
10,115,21
10,116,389
10,116,373
10,116,3
10,117,114
10,117,195
10,117,105
10,118,338
10,118,333
10,118,57
10,119,95
10,119,471
10,119,359
10,120,418
10,120,378
10,120,125
10,120,166
10,121,335
10,121,150
10,121,289
10,122,125
10,122,445
10,122,397
10,123,118
10,123,87
10,123,456
10,123,436
10,124,128
10,124,183
10,124,148
10,124,33
10,125,37
10,126,490
10,126,338
10,126,224
10,126,290
10,127,67
10,128,102
10,128,441
10,128,365
10,128,390
10,129,283
10,130,266
10,130,437
10,130,358
10,130,138
11,131,68
11,132,266
11,132,285
11,132,156
